(0.43272549, 0.42508018, 0.76668602, 0.67315763, 0.62807643, 0.30777866)
(0.74968821, 0.57683158, 0.72716093, 0.63852936, 0.76091635, 0.43660286)
(0.40683746, 0.10730085, 0.62468904, 0.85422331, 0.70654273, 0.44905418)
(0.25500208, 0.70306629, 0.65526664, 0.23511779, 0.16566665, 0.27098557)
(0.30170649, 0.16957621, 0.67741561, 0.78833413, 0.60282177, 0.35829392)
(0.18752906, 0.18336648, 0.48517102, 0.58686626, 0.24795443, 0.39101765)
(0.65231013, 0.67798400, 0.64729810, 0.42845538, 0.56727916, 0.45445463)
(0.51818651, 0.52147543, 0.49994731, 0.38983643, 0.40592268, 0.51394367)
(0.49152571, 0.21795557, 0.21974382, 0.42702669, 0.32339305, 0.72947156)
(0.68413359, 0.48421150, 0.60531729, 0.59653223, 0.64784807, 0.51210642)
(0.52244031, 0.21755923, 0.74892992, 0.82718819, 0.77702069, 0.38063356)
(0.78356218, 0.58190405, 0.33911714, 0.35452521, 0.53494060, 0.74800271)
(0.73256361, 0.12468483, 0.72534961, 0.91765618, 0.89388674, 0.51490027)
(0.32376426, 0.04509278, 0.30110043, 0.82893217, 0.39124089, 0.63563681)
(0.66241157, 0.49269387, 0.49417263, 0.49301717, 0.55232006, 0.58408529)
(0.76950318, 0.20248716, 0.20233007, 0.59714347, 0.49645370, 0.83588874)
(0.89995438, 0.71802926, 0.26262921, 0.25759053, 0.54634464, 0.85465097)
(0.84233415, 0.81572807, 0.40360636, 0.20573421, 0.54066360, 0.74291128)
(0.64273506, 0.83217806, 0.33148459, 0.08429872, 0.23209727, 0.69462013)
(0.37723699, 0.57223105, 0.57957298, 0.34365290, 0.30044347, 0.39274535)
(0.28896880, 0.76497537, 0.80716813, 0.34785545, 0.23536885, 0.18353717)
(0.90343469, 0.92847866, 0.41986752, 0.10511561, 0.51575857, 0.78139377)
(0.28360832, 0.35856313, 0.60684097, 0.54381526, 0.36520511, 0.35054606)
(0.19182310, 0.08863785, 0.27791524, 0.57072955, 0.22727489, 0.57984126)
(0.48203620, 0.42196649, 0.28967524, 0.26754358, 0.27691081, 0.66109419)
(0.50564730, 0.07804782, 0.22941382, 0.73524225, 0.43262914, 0.74503827)
(0.38964540, 0.59252965, 0.70044255, 0.46408421, 0.38910532, 0.30915049)
(0.83309197, 0.86108398, 0.49511039, 0.19239473, 0.54941881, 0.68060094)
(0.23816165, 0.64764982, 0.87167728, 0.56568795, 0.33444548, 0.13497749)
(0.38610768, 0.28988090, 0.41866809, 0.49554771, 0.36994836, 0.53044260)
(0.36068842, 0.32805702, 0.70437700, 0.67881602, 0.55611473, 0.33685315)
(0.51441801, 0.31861994, 0.36796570, 0.48382220, 0.42590171, 0.61573458)
(0.19123013, 0.27486089, 0.76071763, 0.71374220, 0.40756917, 0.22810939)
(0.56528360, 0.43979585, 0.12656040, 0.13587487, 0.15716554, 0.82931554)
(0.26501980, 0.13507012, 0.12489768, 0.25664529, 0.11302993, 0.75971782)
(0.55337638, 0.40942323, 0.23798120, 0.26933044, 0.29083213, 0.72633684)
(0.66128743, 0.64481586, 0.39901134, 0.27377427, 0.44252354, 0.65045798)
(0.50816518, 0.53058696, 0.40060148, 0.29699007, 0.34014532, 0.57969981)
(0.42923087, 0.38566691, 0.30719674, 0.28451419, 0.26533982, 0.62886029)
(0.63123274, 0.67520553, 0.33166894, 0.18976428, 0.33662269, 0.68826491)
(0.47760373, 0.53209239, 0.22891067, 0.14656092, 0.17744195, 0.71174425)
(0.77320391, 0.70199472, 0.27524987, 0.19206737, 0.38128144, 0.78363520)
(0.73006481, 0.62329161, 0.48530048, 0.39844707, 0.57801390, 0.62157011)
(0.22759072, 0.22741307, 0.58765405, 0.64570063, 0.36382261, 0.34952319)
(0.23956461, 0.74753988, 0.75356549, 0.27657574, 0.17228323, 0.20088102)
(0.46040609, 0.46564493, 0.28206727, 0.21855871, 0.22886327, 0.66021335)
(0.15932728, 0.26709396, 0.66064048, 0.60808057, 0.28058568, 0.25781232)
(0.58901167, 0.45478740, 0.61607027, 0.58179754, 0.61793417, 0.46283472)
(0.64345694, 0.47323921, 0.11464363, 0.14098814, 0.17423996, 0.85651082)
(0.77286798, 0.94236010, 0.89806455, 0.32456708, 0.58740759, 0.25612390)
(0.75581986, 0.05530752, 0.17052180, 0.82352859, 0.57630146, 0.86197305)
(0.78795904, 0.56492388, 0.66785550, 0.62854177, 0.74134606, 0.51024735)
(0.23289567, 0.10923457, 0.26302707, 0.52784342, 0.22810818, 0.61176664)
(0.29205826, 0.39335293, 0.71870798, 0.62110966, 0.44685820, 0.28663623)
(0.57150435, 0.60102767, 0.82683390, 0.65229553, 0.68823504, 0.28415936)
(0.23629610, 0.57280457, 0.74107605, 0.44719237, 0.26470962, 0.22108078)
(0.70587116, 0.49020252, 0.61332202, 0.60239351, 0.68174630, 0.51297998)
(0.87134486, 0.49069944, 0.62308949, 0.70752758, 0.82677567, 0.61552972)
(0.58161187, 0.21568705, 0.42401063, 0.67741883, 0.55371290, 0.61563438)
