(0.71853018, 0.31197432, 0.68244660, 0.69596696, 0.20589446, 0.12594330, 0.83472490, 0.94101316, 0.18429145, 0.55232853)
(0.35123315, 0.26815695, 0.43095419, 0.34373811, 0.84515226, 0.23859356, 0.28811207, 0.45246154, 0.60744178, 0.47389722)
(0.36626077, 0.02930793, 0.21326859, 0.68198949, 0.17765769, 0.92052418, 0.63735723, 0.65995979, 0.54512447, 0.89448810)
(0.11125775, 0.29233575, 0.43825880, 0.54443568, 0.47206032, 0.57428384, 0.05148871, 0.75132859, 0.64675003, 0.70334452)
(0.69441879, 0.73194140, 0.03961173, 0.72784305, 0.28279558, 0.88701564, 0.14075062, 0.71624595, 0.94717008, 0.46005419)
(0.92187440, 0.86874133, 0.10851629, 0.76711541, 0.10894604, 0.39469695, 0.79294676, 0.08320684, 0.08145186, 0.05351107)
(0.77609855, 0.47619730, 0.10893595, 0.38768739, 0.19102553, 0.19137438, 0.84222972, 0.40363961, 0.78833556, 0.29528788)
(0.24542308, 0.09631117, 0.38402420, 0.81908423, 0.47202268, 0.89940923, 0.17128682, 0.88290721, 0.45954370, 0.67976588)
(0.68372631, 0.71898431, 0.66937959, 0.85800260, 0.03025086, 0.20320232, 0.89843708, 0.23209696, 0.96563262, 0.38364667)
(0.82737094, 0.14690465, 0.73966533, 0.36045691, 0.06576825, 0.85418612, 0.44393292, 0.56708956, 0.39664903, 0.47718355)
(0.49742252, 0.47274482, 0.47097239, 0.72743279, 0.71891624, 0.48634139, 0.18626456, 0.53502494, 0.33861619, 0.31163037)
(0.55074209, 0.29538926, 0.25293654, 0.21459083, 0.87912250, 0.55090022, 0.05016115, 0.31756186, 0.04793245, 0.06449427)
(0.74603379, 0.47307619, 0.11795397, 0.58990932, 0.22121739, 0.44704634, 0.58603525, 0.28663930, 0.83281094, 0.77085191)
(0.58966172, 0.93607730, 0.10025100, 0.67437088, 0.63539231, 0.51439685, 0.47029191, 0.54670483, 0.81474119, 0.72884816)
