(0.71930122, 0.78377664, 0.45524773, 0.66410542, 0.42036790, 0.20514129, 0.46811247, 0.23408249)
(0.66402030, 0.92098665, 0.83628440, 0.38329709, 0.52825826, 0.72576362, 0.72314799, 0.52806503)
(0.12262743, 0.55265254, 0.16854672, 0.77559620, 0.59338820, 0.47598740, 0.27004611, 0.56957537)
(0.63681489, 0.54097277, 0.13482013, 0.34011167, 0.14072715, 0.27733010, 0.80334759, 0.77985108)
(0.37370566, 0.44696629, 0.42042258, 0.30228910, 0.18608832, 0.46459848, 0.80270851, 0.33377618)
(0.40115112, 0.57907426, 0.87985057, 0.35479838, 0.58328742, 0.78576595, 0.36707169, 0.69381285)
(0.56346035, 0.42370316, 0.95870507, 0.59722954, 0.62593603, 0.63714963, 0.18884413, 0.63806492)
(0.74938470, 0.85274440, 0.80532283, 0.41922566, 0.63458532, 0.85208935, 0.16391557, 0.87781322)
(0.20417877, 0.38907248, 0.68424249, 0.53653842, 0.66968507, 0.40078491, 0.04624519, 0.20473289)
(0.97601306, 0.79239905, 0.60021907, 0.58421135, 0.66918308, 0.43208978, 0.78645027, 0.19399294)
(0.03288823, 0.20573708, 0.04074559, 0.07840273, 0.73980546, 0.72172087, 0.44858018, 0.53927195)
(0.63758206, 0.65872270, 0.59411502, 0.21810900, 0.86974961, 0.72484744, 0.05304078, 0.42206824)
(0.51840305, 0.20245831, 0.94685417, 0.54047793, 0.59839737, 0.75787008, 0.19521739, 0.53320765)
(0.30958542, 0.49912381, 0.76169229, 0.56638354, 0.88179439, 0.65800083, 0.14024949, 0.38055992)
(0.56584716, 0.20087336, 0.84679562, 0.87594289, 0.04189159, 0.11923612, 0.66824424, 0.26745802)
(0.42317182, 0.65001327, 0.47670001, 0.59386164, 0.60425889, 0.51070386, 0.02662982, 0.56218666)
(0.65728927, 0.04435590, 0.70025432, 0.44506651, 0.92339170, 0.22206518, 0.53753275, 0.82415915)
(0.16707236, 0.40432170, 0.42000791, 0.65148282, 0.75377452, 0.35740596, 0.39121205, 0.41326699)
(0.11142892, 0.68426806, 0.06368778, 0.40639958, 0.18763870, 0.72877967, 0.25082105, 0.91348481)
(0.52868247, 0.58776528, 0.60833907, 0.14239916, 0.58098263, 0.58612263, 0.17957625, 0.55039775)
(0.30815634, 0.58977026, 0.54460871, 0.12843521, 0.90700644, 0.70185995, 0.07908466, 0.08231138)
(0.73202777, 0.83418626, 0.32348308, 0.74342036, 0.71266997, 0.37494719, 0.11633591, 0.34187284)
(0.73759824, 0.86667937, 0.46635571, 0.45049429, 0.57756197, 0.47829491, 0.60615760, 0.66939074)
(0.11563009, 0.58189380, 0.80892259, 0.13330871, 0.74442494, 0.48942927, 0.58087522, 0.52881974)
(0.56091410, 0.84779572, 0.29347751, 0.56499058, 0.05343442, 0.28330901, 0.67351466, 0.76261330)
(0.62665683, 0.01439200, 0.47408789, 0.73001450, 0.69910324, 0.21303968, 0.56191367, 0.71631992)
(0.59462267, 0.31157598, 0.64854753, 0.60117167, 0.25313759, 0.16559835, 0.54955167, 0.52318579)
(0.07797515, 0.58646005, 0.45535287, 0.58174485, 0.57146102, 0.60727543, 0.21164955, 0.64387524)
(0.54768962, 0.74746472, 0.29971620, 0.31491831, 0.89590967, 0.48389593, 0.15545295, 0.95098144)
